name,number,status
Python Initialization Configuration,587,Final
Type Hinting Generics In Standard Collections,585,Final
Add Union Operators To dict,584,Final
Python local packages directory,582,Draft
Using GitHub Issues for CPython,581,Accepted
A Concurrency Memory Model for Python,583,Withdrawn
The C call protocol,580,Rejected
Literal Types,586,Accepted
Refactoring C functions and methods,579,Final
Python Runtime Audit Hooks,578,Accepted
Augmented Assignment Expressions,577,Withdrawn
Rationalize Built-in function classes,576,Withdrawn
Unifying function/method classes,575,Withdrawn
Pickle protocol 5 with out-of-band data,574,Final
Module State Access from C Extension Methods,573,Final
Assignment Expressions,572,Final
The manylinux2010 Platform Tag,571,Superseded
Python Positional-Only Parameters,570,Final
Python 3.8 Release Schedule,569,Active
Generator-sensitivity for Context Variables,568,Deferred
Context Variables,567,Final
Metadata for Python Software Packages 2.1,566,Final
Show DeprecationWarning in __main__,565,Final
Add new time functions with nanosecond resolution,564,Final
Postponed Evaluation of Annotations,563,Accepted
Module __getattr__ and __dir__,562,Final
Distributing and Packaging Type Information,561,Final
Core support for typing module and generic types,560,Accepted
Built-in noop(),559,Rejected
Defined semantics for locals(),558,Draft
Data Classes,557,Final
Threaded garbage collection,556,Deferred
Context-local variables (contextvars),555,Withdrawn
Built-in breakpoint(),553,Final
Multiple Interpreters in the Stdlib,554,Draft
Deterministic pycs,552,Final
Security transparency in the Python runtime,551,Withdrawn
Execution Context,550,Withdrawn
Instance Descriptors,549,Rejected
More Flexible Loop Control,548,Rejected
Running extension modules using the -m option,547,Deferred
Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,546,Rejected
Python Documentation Translations,545,Final
Protocols: Structural subtyping (static duck typing),544,Accepted
A Unified TLS API for Python,543,Withdrawn
Dot Notation Assignment In Function Header,542,Rejected
Package Index Name Retention,541,Final
A New C-API for Thread-Local Storage in CPython,539,Final
Add a new UTF-8 Mode,540,Final
Python 3.7 Release Schedule,537,Active
Coercing the legacy C locale to a UTF-8 based locale,538,Final
Final Grammar for Literal String Interpolation,536,Deferred
Rich comparison chaining,535,Deferred
Improved Errors for Missing Standard Library Modules,534,Deferred
Deterministic cleanup for iterators,533,Deferred
Existence checking operators,531,Withdrawn
A circuit breaking protocol and binary operators,532,Deferred
Asynchronous Comprehensions,530,Final
Change Windows filesystem encoding to UTF-8,529,Final
Change Windows console encoding to UTF-8,528,Final
Removing Un(der)used file types/extensions on PyPI,527,Final
Syntax for Variable Annotations,526,Final
Asynchronous Generators,525,Final
Adding a frame evaluation API to CPython,523,Final
Make os.urandom() blocking on Linux,524,Final
Allow BlockingIOError in security sensitive APIs,522,Rejected
Managing global context via ‘with’ blocks in generators and coroutines,521,Withdrawn
Adding a file system path protocol,519,Final
Specifying Minimum Build System Requirements for Python Projects,518,Final
Preserving Class Attribute Definition Order,520,Final
A build-system independent format for source trees,517,Final
Build system abstraction for pip/conda etc,516,Rejected
Python registration in the Windows registry,514,Active
Underscores in Numeric Literals,515,Final
A Platform Tag for Portable Linux Built Distributions,513,Superseded
Migrating from hg.python.org to GitHub,512,Final
API for code transformers,511,Rejected
Specialize functions with guards,510,Rejected
Add a private version to dict,509,Final
Dependency specification for Python Software Packages,508,Final
Migrate CPython to Git and GitLab,507,Rejected
Adding A Secrets Module To The Standard Library,506,Final
Simple Repository API,503,Final
None-aware operators,505,Deferred
Using the System RNG by default,504,Withdrawn
String Interpolation - Extended Discussion,502,Rejected
General purpose string interpolation,501,Deferred
A protocol for delegating datetime methods to their tzinfo implementations,500,Rejected
,499,Deferred
Literal String Interpolation,498,Final
A standard mechanism for backward compatibility,497,Rejected
Environment Markers,496,Rejected
Local Time Disambiguation,495,Final
Python 3.6 Release Schedule,494,Final
HTTPS verification migration tools for Python 2.7,493,Final
Coroutines with async and await syntax,492,Final
The Wheel Binary Package Format 1.9,491,Deferred
Chain exceptions at C level,490,Rejected
Multi-phase extension module initialization,489,Final
Make the Python Launcher aware of virtual environments,486,Final
Simpler customisation of class creation,487,Final
Elimination of PYO files,488,Final
A Function for testing approximate equality,485,Final
Type Hints,484,Final
"Migrate CPython to Git, Github, and Phabricator",481,Withdrawn
The Theory of Type Hints,483,Final
Literature Overview for Type Hints,482,Final
Surviving a Compromise of PyPI: End-to-end signing of packages,480,Draft
Change StopIteration handling inside generators,479,Final
Python 3.5 Release Schedule,478,Final
Backport ensurepip (PEP 453) to Python 2.7,477,Final
Enabling certificate verification by default for stdlib http clients,476,Final
Retry system calls failing with EINTR,475,Final
Creating forge.python.org,474,Withdrawn
Adding structured data to built-in exceptions,473,Rejected
os.scandir() function – a better and faster directory iterator,471,Final
Removing External Hosting Support on PyPI,470,Final
Support for indexing with keyword arguments,472,Rejected
Migration of dict iteration code to Python 3,469,Withdrawn
Preserving the order of **kwargs in a function.,468,Final
Minor API improvements for binary sequences,467,Draft
Network Security Enhancements for Python 2.7.x,466,Final
A dedicated infix operator for matrix multiplication,465,Final
Removal of the PyPI Mirror Authenticity API,464,Final
Exception-catching expressions,463,Rejected
Core development workflow automation for CPython,462,Withdrawn
Adding % formatting to bytes and bytearray,461,Final
Add binary interpolation and formatting,460,Withdrawn
Notation For Positional-Only Parameters,457,Final
Secure PyPI downloads with signed repository metadata,458,Accepted
Secure and interchangeable hash algorithm,456,Final
Adding a key-transforming dictionary to collections,455,Rejected
Standard Metadata Extensions for Python Software Packages,459,Withdrawn
Add a new tracemalloc module to trace Python memory allocations,454,Final
API for Cryptographic Hash Functions v2.0,452,Final
A ModuleSpec Type for the Import System,451,Final
Adding A Statistics Module To The Standard Library,450,Final
Explicit bootstrapping of pip in Python installations,453,Final
